law_name,question,answer,contexts,difficulty,question_type
قانون روابط موجر و مستأجر,اجاره چه اماکنی تابع مقررات قانون مدنی و این قانون جدید است؟,اجاره کلیه اماکن اعم از مسکونی، تجاری، محل کسب و پیشه، اماکن آموزشی، خوابگاه‌های دانشجویی و ساختمان‌های دولتی و نظایر آن که با قرارداد رسمی یا عادی منعقد می‌شود.,['ماده 1 - از تاریخ لازم الاجرا شدن این قانون، اجاره کلیه اماکن اعم از مسکونی، تجاری، محل کسب و پیشه، اماکن آموزشی، خوابگاه\u200cهای دانشجویی و ساختمان\u200cهای دولتی و نظایر آن که با قرارداد رسمی یا عادی منعقد می\u200cشود تابع مقررات قانون مدنی و مقررات مندرج در این قانون و شرایط مقرر بین موجر و مستأجر خواهد بود.'],easy,simple
قانون روابط موجر و مستأجر,تفاوت فرآیند تخلیه در قراردادهای رسمی و عادی چیست؟,در سند رسمی، تخلیه توسط دوایر اجرای ثبت ظرف یک هفته انجام می‌شود، اما در سند عادی ظرف یک هفته پس از تقاضا، به دستور مقام قضایی توسط ضابطین انجام می‌گیرد.,"['ماده 3 - پس از انقضای مدت اجاره بنا به تقاضای موجر یا قایم مقام قانونی وی تخلیه عین مستأجره در اجاره با سند رسمی توسط دوایر اجرای ثبت ظرف یک هفته انجام خواهد گرفت.', 'ماده 3 (ادامه) - و در اجاره با سند عادی ظرف یک هفته پس از تقدیم تقاضای تخلیه به دستور مقام قضایی در مرجع قضایی توسط ضابطین قوه قضاییه انجام خواهد گرفت.']",medium,reasoning
قانون روابط موجر و مستأجر,اگر موجر مدعی خسارت باشد، تحویل ودیعه به مستأجر چه شرایطی پیدا می‌کند؟,تخلیه موکول به استرداد ودیعه است، اما اگر موجر مدعی خسارت باشد باید همزمان با تودیع وجه، گواهی تسلیم دادخواست مطالبه ضرر و زیان را به دایره اجرا تحویل دهد تا از تسلیم وجه به مستأجر خودداری شود.,"['ماده 4 - در صورتی که موجر مبلغی بعنوان ودیعه یا تضمین یا قرض الحسنه از مستأجر دریافت کرده باشد تخلیه و تحویل مورد اجاره به موجر موکول به استرداد سند یا وجه مذکور به مستأجر و یا سپردن آن به دایره اجرا است.', 'ماده 4 (ادامه) - چنانچه موجر مدعی ورود خسارت به عین مستأجره یا عدم پرداخت بدهی قبوض باشد، موظف است همزمان با تودیع وجه، گواهی دفتر شعبه دادگاه صالح را مبنی بر تسلیم دادخواست مطالبه ضرر و زیان به میزان مورد ادعا به دایره اجرا تحویل نماید.']",hard,multi_context
قانون کار,تعریف دقیق کارگر طبق ماده ۲ قانون کار چیست؟,کارگر کسی است که به هر عنوان در مقابل دریافت حق‌السعی اعم از مزد، حقوق، سهم سود و سایر مزایا به درخواست کارفرما کار می‌کند.,['ماده 2 - کارگر از لحاظ این قانون کسی است که به هر عنوان در مقابل دریافت حق السعی اعم از مزد، حقوق، سهم سود و سایر مزایا به درخواست کارفرما کار می کند.'],easy,simple
قانون کار,مسئولیت کارفرما در قبال تعهدات مدیران کارگاه چیست؟,مدیران و مسئولان کارگاه نماینده کارفرما هستند و کارفرما مسئول کلیه تعهداتی است که آن‌ها در قبال کارگر به عهده می‌گیرند.,['ماده 3 - مدیران و مسئولان و به طور عموم کلیه کسانیکه عهده دار اداره کارگاه هستند نماینده کارفرما محسوب می شوند و کارفرما مسئول کلیه تعهداتی است که نمایندگان مذکور در قبال کارگر به عهده می گیرند.'],medium,reasoning
قانون کار,چه مکان‌هایی جزو محدوده کارگاه محسوب می‌شوند؟,کارگاه محل کار کارگر است و شامل کلیه تأسیسات جانبی مثل نمازخانه، ناهارخوری، مهدکودک و حمام که متعلق به آن کارگاه هستند نیز می‌شود.,"['ماده 4 - کارگاه محلی است که کارگر به درخواست کارفرما یا نماینده او در آنجا کار می کند، از قبیل موسسات صنعتی، کشاورزی، معدنی، ساختمانی، ترابری، مسافربری، خدماتی، تجاری، تولیدی، اماکن عمومی و امثال آنها.', 'ماده 4 (بخش دوم) - کلیه تاسیساتی که به اقتضای کار متعلق به کارگاهاند، از قبیل نمازخانه، ناهارخوری، تعاونیها، شیرخوارگاه، مهدکودک، درمانگاه، حمام، آموزشگاه حرفهای، قرائتخانه، کلاسهای سوادآموزی و سایر مراکز آموزشی و اماکن ورزشی جزو کارگاه محسوب می شوند.']",hard,multi_context
قانون تأمین اجتماعی,ماهیت حقوقی و استقلال سازمان تأمین اجتماعی چگونه است؟,سازمان دارای شخصیت حقوقی و استقلال مالی و اداری است و امور آن منحصراً طبق اساسنامه‌ای که به تصویب هیئت وزیران می‌رسد اداره می‌شود.,['ماده 1 - سازمان دارای شخصیت حقوقی و استقلال مالی و اداری است و امور آن منحصراً طبق اساسنامه ای که بتصویب هیئت وزیران میرسد، اداره خواهد شد.'],easy,simple
قانون تأمین اجتماعی,آیا عدم پرداخت حق بیمه توسط کارفرما حق بیمه‌شده را از بین می‌برد؟,خیر، تأخیر کارفرما در پرداخت حق بیمه یا عدم پرداخت آن رافع مسئولیت و تعهدات سازمان در مقابل بیمه‌شده نخواهد بود.,['ماده 36 - تاخیر کارفرما در پرداخت حق بیمه یا عدم پرداخت آن رافع مسئولیت و تعهدات سازمان در مقابل بیمه شده نخواهد بود.'],medium,reasoning
قانون تأمین اجتماعی,تکلیف تعهدات مالی صندوق تأمین آموزش فرزندان کارگر پس از قانون جدید چیست؟,کلیه تعهدات مالی، اموال، دارایی و کارکنان این صندوق به سازمان تأمین اجتماعی منتقل می‌شود.,"['تبصره 1 ماده 118 - کلیه تعهدات مالی و اموال و دارائی صندوق تامین آموزش فرزندان کارگر بسازمان منتقل میشود.', 'تبصره 2 ماده 118 - کارکنان صندوق تامین آموزش فرزندان کارگر به سازمان منتقل و تابع مقررات و نظامات استخدامی سازمان خواهند بود.']",hard,multi_context
قانون صدور چک,تعریف چک تأیید شده چیست؟,چکی است که اشخاص به حساب جاری خود صادر و توسط بانک برای پرداخت وجه آن تأیید می‌شود.,['ماده 1 بند 2 - چک تأیید شده: چکی است که اشخاص بدهکار به بانک\u200cها به حساب جاری خود صادر و توسط بانک محال\u200cعلیه برای پرداخت وجه آن تأیید می\u200cشود.'],easy,simple
قانون صدور چک,تفاوت چک عادی و تضمین شده از نظر اعتبار چیست؟,در چک عادی دارنده تضمینی جز اعتبار صادرکننده ندارد، اما در چک تضمین شده پرداخت وجه توسط بانک تضمین می‌شود.,"['ماده 1 بند 1 - چک عادی: چکی است که اشخاص صادر و دارنده آن تضمینی جز اعتبار صادرکننده ندارد.', 'ماده 1 بند 3 - چک تضمین شده: چکی است که توسط بانک صادر و پرداخت وجه آن توسط بانک تضمین می\u200cشود.']",medium,reasoning
قانون صدور چک,برای دریافت المثنی چک تضمین شده مفقودی چه مراحلی باید طی شود؟,متقاضی و ذینفع باید به بانک مراجعه، فرم مفقودی و تعهدنامه عدم ادعا را امضا کنند و بانک پس از احراز هویت از سامانه الکترونیکی نسبت به صدور المثنی اقدام می‌کند.,"['ماده الحاقی 1400 - در صورت مفقودي چك تضمین شده، هر گاه متقاضي و گیرنده ذي نفع هر دو به بانك صادرکننده مراجعه و نسبت به تکمیل و امضاي برگه فرم اعلام مفقودي چك تضمین شده و تعهدنامه عدم ادعا نسبت به چك مفقود شده اقدام نموده و نسخه المثني آن را از بانك درخواست کنند.', 'ماده الحاقی 1400 (ادامه) - بانك مکلف است علاوه بر احراز هویت متقاضي و گیرنده از سامانه نظام هویت سنجي الكترونيكي بانكي اقدام نماید و پس از ابطال چك مفقود شده نسبت به صدور چك المثني مطابق با اطلاعات مندرج در سامانه صیاد اقدام کند.']",hard,multi_context
قانون ثبت اسناد و املاک,اهمیت محل مأموریت مدیران ثبت در اعتبار قانونی اقدامات آن‌ها چیست؟,مدیران و نمایندگان ثبت فقط در محل مأموریت خود حق انجام وظیفه دارند و اقدامات خارج از آن محل اثر قانونی ندارد.,['ماده دوم - مدیران و نمایندگان ثبت و مسئولین دفاتر و صاحبان دفاتر اسناد رسمی جز در محل ماموریت خود نمی توانند انجام وظیفه نمایند - اقدامات آن ها در خارج از آن محل اثر قانونی ندارد'],easy,simple
قانون ثبت اسناد و املاک,شورای عالی ثبت از چه کسانی تشکیل می‌شود؟,مرکب از مدعی‌العموم دیوان‌عالی تمیز، مدیرکل امور قضائی (به تعیین وزیر عدلیه) و مدیرکل ثبت.,['ماده 6 - شورای عالی ثبت مرکب خواهد بود از مدعی العموم دیوانعالی تمیز و مدیر کل امور قضائی به تعیین وزیر عدلیه و مدیر کل ثبت.'],medium,reasoning
قانون ثبت اسناد و املاک,نقشه کاداستر چه کاربردی در اختلافات ملکی دارد؟,برای تشخیص حدود و موقعیت املاک تهیه می‌شود و در دعاوی قضایی برای رفع اختلافات حدودی، ملاک عمل خواهد بود.,"['ماده 156 - بمنظور تشخیص حدود و موقعیت املک واقع در محدوده شهرها و حومه نقشه املک بصورت کاداستر تهیه خواهد شد.', 'تبصره 1 ماده 156 - در مورد تقاضای تفکیک و افراز املک و تحدید حدود املک مجاور و همچنین در دعاوی مطروحه در مراجع قضائی رفع اختلف حدودی نقشه کاداستر ملک عمل خواهد شد.']",hard,multi_context
قانون مالیات بر ارزش افزوده,دوره مالیاتی در ارزش افزوده به چه صورت است؟,دوره مالیاتی هر سه ماه می‌باشد و منطبق بر فصول سال شمسی است.,['ماده 1 بند خ - دوره مالیاتی: دوره مالیاتی هر سه ماه می باشد و منطبق بر فصول سال شمسی است.'],easy,simple
قانون مالیات بر ارزش افزوده,تفاوت مالیات فروش و مالیات خرید در این قانون چیست؟,مالیات فروش متعلق به عرضه کالا و خدمات توسط مودی است، اما مالیات خرید متعلق به خرید کالا و خدمات برای فعالیت‌های اقتصادی مودی است.,"['ماده 1 بند ت - مالیات و عوارض فروش: مالیات و عوارض متعلق به عرضه کالها و ارائه خدمات مشمول مالیات و عوارض توسط مودی در یک دوره معین.', 'ماده 1 بند ث - مالیات و عوارض خرید: مالیات و عوارض متعلق به خرید کالها و خدمات مشمول مالیات و عوارض برای فعالیت های اقتصادی مودی در یک دوره معین.']",medium,reasoning
قانون مالیات بر ارزش افزوده,تعریف مالیات بر ارزش افزوده بر اساس مابه‌التفاوت خرید و فروش چیست؟,مابه‌التفاوت مالیات و عوارض فروش با مالیات و عوارض خرید در یک دوره معین است.,['ماده 1 بند ج - مالیات بر ارزش افزوده: ما به التفاوت مالیات و عوارض فروش با مالیات و عوارض خرید در یک دوره معین.'],easy,simple
قانون مبارزه با قاچاق کالا و ارز,تعریف کلی قاچاق کالا و ارز چیست؟,هر فعل یا ترک فعلی که موجب نقض تشریفات قانونی مربوط به ورود و خروج کالا و ارز گردد.,['ماده 1 بند الف - قاچاق کال و ارز: هر فعل یا ترک فعلی است که موجب نقض تشریفات قانونی مربوط به ورود و خروج کال و ارز گردد.'],easy,simple
قانون مبارزه با قاچاق کالا و ارز,منظور از تشریفات قانونی در این قانون چیست؟,اقداماتی شامل تشریفات گمرکی، بانکی، اخذ مجوزهای لازم و ارائه به مراجع ذی‌ربط برای ورود یا خروج کالا.,['ماده 1 بند ت - تشریفات قانونی: اقداماتی از قبیل تشریفات گمرکی و بانکی، اخذ مجوزهای لزم و ارائه به مراجع ذی ربط است که اشخاص موظفند طبق قوانین و مقررات به منظور وارد یا خارج کردن کال یا ارز، انجام دهند.'],medium,reasoning
قانون مبارزه با قاچاق کالا و ارز,تفاوت کالای ممنوع و مجاز مشروط در چیست؟,کالای ممنوع ورود و صدورش کلاً ممنوع است، اما مجاز مشروط نیازمند تشریفات گمرکی و کسب مجوز از مراجع ذی‌ربط است.,"['ماده 1 بند ث - کالی ممنوع: کالیی که صدور یا ورود آن به موجب قانون ممنوع است.', 'ماده 1 بند ج - کالی مجاز مشروط: کالیی که صدور یا ورود آن علوه بر انجام تشریفات گمرکی حسب قانون نیازمند به کسب مجوز قبلی از یک یا چند مرجع ذی ربط قانونی است.']",hard,multi_context
